ID,SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,CITY,STATE,ZIP,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS.ON.MARKET,X..SQUARE.FEET,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
19344,MLS Listing,NA,Condo/Co-op,Bronx,NY,10473,3,2.5,Bronx,1377,NA,1989,6,309,396,Active,,,HGMLS,N,Y,40.8,-73.9
19345,MLS Listing,NA,Single Family Residential,Durham,NC,27707,3,2,Hillside Park,1081,8276,1967,5,106,NA,Active,,,TMLS,N,Y,36,-78.9
19346,New Construction Home,NA,Single Family Residential,Newport Beach,CA,92663,3,3,Echo56,1710,NA,2018,64,1273,NA,Active,,,NewHomeSource.com,N,Y,33.6,-117.9
19347,MLS Listing,NA,Single Family Residential,Lake Forest,CA,92679,5,5.5,PH - Portola Hills,4672,6913,2017,111,385,200,Active,,,CRMLS,N,Y,33.6,-117.7
19348,MLS Listing,NA,Townhouse,Corona del Mar,CA,92625,2,2,CS - Corona Del Mar - Spyglass,1246,NA,1972,42,866,200,Active,,,CRMLS,N,Y,33.6,-117.9
19349,MLS Listing,NA,Single Family Residential,Orlando,FL,32824,4,3,Orlando,2597,7800,2014,7,158,100,Active,,,MFRMLS,N,Y,28.4,-81.3
19350,MLS Listing,NA,Single Family Residential,Bronx,NY,10473,4,1,Bronx,1180,3001,1945,8,381,NA,Active,,,HGMLS,N,Y,40.8,-73.9
19351,MLS Listing,NA,Multi-Family (2-4 Unit),Glendale,NY,11385,6,3.5,Glendale,1900,1900,1925,41,605,NA,Active,,,MLSLI,N,Y,40.7,-73.9
19352,MLS Listing,NA,Single Family Residential,Raleigh,NC,27608,5,5,Villa Park,4234,8929,2017,140,236,NA,Active,,,TMLS,N,Y,35.8,-78.6
19353,MLS Listing,NA,Townhouse,Raleigh,NC,27606,4,4,To Be Added,3180,1742,2018,78,124,136,Active,,,TMLS,N,Y,35.8,-78.7
19354,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32225,4,2.5,Riverwoods At St Joh,2228,NA,1987,155,132,8,Active,March-10-2018 10:00 AM,March-10-2018 12:00 PM,NEFLMLS,N,Y,30.4,-81.5
19355,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,3,3,Charter Club,1850,NA,1973,191,319,500,Active,,,MARMLS,N,Y,25.8,-80.2
19356,MLS Listing,NA,Single Family Residential,Orlando,FL,32828,5,3,Orlando,2682,6693,2001,48,130,158,Active,,,MFRMLS,N,Y,28.5,-81.2
19357,MLS Listing,NA,Condo/Co-op,Forest Hills,NY,11375,1,1,The Sunrise,696,NA,2017,13,955,357,Active,,,MLSLI,N,Y,40.7,-73.8
19358,MLS Listing,NA,Condo/Co-op,Laguna Woods,CA,92637,2,1.75,LW - Laguna Woods,1394,1394,1968,22,386,789,Active,,,CRMLS,N,Y,33.6,-117.7
19359,MLS Listing,NA,Single Family Residential,Orlando,FL,32835,4,3,Orlando,2653,14859,2000,6,164,180,Active,,,MFRMLS,N,Y,28.5,-81.5
19360,MLS Listing,NA,Townhouse,Smyrna,GA,30080,2,2.5,Manor at Olde Ivy,1496,NA,2003,48,167,31,Active,,,GAMLS,N,Y,33.8,-84.5
19361,MLS Listing,NA,Single Family Residential,Miami,FL,33135,2,1,Hazel Park,1255,5400,1943,10,317,NA,Active,March-10-2018 10:00 AM,March-10-2018 01:00 PM,MARMLS,N,Y,25.8,-80.2
19362,MLS Listing,NA,Single Family Residential,Miami,FL,33133,3,3.5,Crystal Heights,2456,7875,1956,56,474,NA,Active,March-7-2018 12:30 PM,March-7-2018 02:30 PM,MARMLS,N,Y,25.7,-80.2
19363,MLS Listing,NA,Single Family Residential,Atlanta,GA,30331,3,2.5,Anatole,2005,3920,2015,2,83,50,Active,,,GAMLS,N,Y,33.7,-84.6
19364,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,2,2,Brickell Heights East,1178,NA,2017,140,551,724,Active,,,MARMLS,N,Y,25.8,-80.2
19365,MLS Listing,NA,Single Family Residential,Coconut Grove,FL,33133,4,4.5,N Grove Waterfront,NA,20000,2017,26,NA,NA,Active,,,MARMLS,N,Y,25.7,-80.2
19366,MLS Listing,NA,Single Family Residential,Santa Ana,CA,92704,4,2,"68 - N of Heil, S of Blsa, E of Brookhrst, W of Ha",1913,7278,1960,20,389,NA,Active,,,CRMLS,N,Y,33.7,-117.9
19367,MLS Listing,NA,Condo/Co-op,Miami,FL,33133,1,1,Commodore Centre,716,NA,1985,271,418,239,Active,,,MARMLS,N,Y,25.7,-80.2
19368,MLS Listing,NA,Condo/Co-op,Miami,FL,33176,1,1,Village At The Falls,811,NA,1974,26,203,279,Active,,,MARMLS,N,Y,25.6,-80.3
19369,MLS Listing,NA,Single Family Residential,Coto de Caza,CA,92679,3,3,CC - Coto De Caza,2713,8500,1994,47,368,225,Active,,,CRMLS,N,Y,33.6,-117.6
19370,MLS Listing,NA,Single Family Residential,Yorba Linda,CA,92886,5,5,85 - Yorba Linda,4355,17338,2003,34,388,NA,Active,,,CRMLS,N,Y,33.9,-117.8
19371,MLS Listing,NA,Single Family Residential,Orlando,FL,32827,5,5,Orlando,3933,18456,2007,78,378,498,Active,,,MFRMLS,N,Y,28.4,-81.3
19372,MLS Listing,NA,Single Family Residential,Orlando,FL,32804,5,3.5,Orlando,3491,12911,2003,16,275,100,Active,March-9-2018 04:00 PM,March-9-2018 07:00 PM,MFRMLS,N,Y,28.6,-81.4
19373,MLS Listing,NA,Townhouse,Jamaica,NY,11423,3,2,Hollis,NA,2740,1940,19,NA,NA,Active,March-10-2018 02:00 PM,March-10-2018 04:00 PM,MLSLI,N,Y,40.7,-73.8
19374,MLS Listing,NA,Single Family Residential,Staten Island,NY,10310,3,2,Sunset Hill,1438,6000,1928,117,479,NA,Active,,,SIBORMLS,N,Y,40.6,-74.1
19375,MLS Listing,NA,Single Family Residential,Pinecrest,FL,33156,4,3.5,Martin Bros Ranch Estates,4815,38768,1955,196,249,NA,Active,,,MARMLS,N,Y,25.6,-80.3
19376,MLS Listing,NA,Single Family Residential,Staten  Island,NY,10312,3,1.5,Staten  Island,1472,2300,1978,5,380,NA,Active,,,BNYMLS,N,Y,40.6,-74.2
19377,MLS Listing,NA,Condo/Co-op,North Miami Beach,FL,33179,2,1,Sky Lake Gdns,860,NA,1965,401,140,214,Active,,,MARMLS,N,Y,25.9,-80.2
19378,MLS Listing,NA,Vacant Land,Trabuco Canyon,CA,92679,NA,NA,TC - Trabuco Canyon,NA,43455,NA,89,NA,NA,Active,,,CRMLS,N,Y,33.7,-117.6
19379,MLS Listing,NA,Condo/Co-op,Atlanta,GA,30326,1,1,Meridian Buckhead,NA,NA,1997,86,NA,NA,Active,,,FMLS,N,Y,33.8,-84.4
19380,MLS Listing,NA,Townhouse,Miami,FL,33133,4,4,Dysis The Grove Hisbiscus,2620,NA,2017,720,324,350,Active,,,MARMLS,N,Y,25.7,-80.3
19381,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2,Charter Club Condo,990,NA,1973,58,284,591,Active,,,MARMLS,N,Y,25.8,-80.2
19382,MLS Listing,NA,Vacant Land,Jacksonville,FL,32226,NA,NA,Amelia View,NA,NA,NA,853,NA,375,Active,,,NEFLMLS,N,Y,30.5,-81.6
19383,MLS Listing,NA,Single Family Residential,Chesterfield,VA,23237,3,2.5,Treemont,2808,16030,1982,1,66,NA,Active,NA,NA,CVRMLS,N,Y,37.4,-77.5
19384,MLS Listing,NA,Single Family Residential,Orlando,FL,32804,2,1,Orlando,1169,7201,1946,50,242,NA,Active,,,MFRMLS,N,Y,28.6,-81.4
19385,MLS Listing,NA,Condo/Co-op,Flushing,NY,11354,2,1,N/A,681,14700,2016,53,1100,NA,Active,,,MLSLI,N,Y,40.8,-73.8
19386,MLS Listing,NA,Single Family Residential,Pinecrest,FL,33156,4,3,Garden Mnr,2852,15028,1960,22,261,NA,Active,,,MARMLS,N,Y,25.6,-80.3
19387,MLS Listing,NA,Single Family Residential,Orange,CA,92866,2,1,OTO - Old Towne Orange,946,3558,1927,2,897,NA,Active,March-10-2018 01:00 PM,March-10-2018 04:00 PM,CRMLS,N,Y,33.8,-117.8
19388,MLS Listing,NA,Single Family Residential,Durham,NC,27713,3,2,Durham,1617,36590,1960,56,103,NA,Active,,,TMLS,N,Y,35.9,-78.9
19389,MLS Listing,NA,Single Family Residential,Mission Viejo,CA,92692,4,3,MS - Mission Viejo South,2860,5720,1990,8,437,137,Active,,,CRMLS,N,Y,33.6,-117.7
19390,New Construction Plan,NA,Single Family Residential,Orlando,FL,32827,4,3,Laureate Park at Lake Nona Cottage,2456,NA,NA,NA,174,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.3
19391,MLS Listing,NA,Single Family Residential,Placentia,CA,92870,4,2,84 - Placentia,1400,9620,1963,26,479,NA,Active,,,CRMLS,N,Y,33.9,-117.9
19392,MLS Listing,NA,Single Family Residential,Coto de Caza,CA,92679,6,5.5,CC - Coto De Caza,7600,479160,1980,54,1184,695,Active,,,CRMLS,N,Y,33.6,-117.6
19393,MLS Listing,NA,Multi-Family (2-4 Unit),Atlanta,GA,30309,5,4,Ansley Park,NA,NA,1920,46,NA,NA,Active,,,FMLS,N,Y,33.8,-84.4
19394,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2.5,The Plaza 901 Brickell,1289,NA,2008,59,387,788,Active,,,MARMLS,N,Y,25.8,-80.2
19395,MLS Listing,NA,Condo/Co-op,Orlando,FL,32822,2,1.5,Orlando,1214,4707,1974,50,87,307,Active,,,MFRMLS,N,Y,28.5,-81.3
19396,MLS Listing,NA,Condo/Co-op,Miami,FL,33138,1,1,The Clipper,831,NA,1965,197,250,509,Active,,,MARMLS,N,Y,25.8,-80.2
19397,MLS Listing,NA,Vacant Land,Jacksonville,FL,32210,NA,NA,Hyde Grove,NA,NA,NA,194,NA,1000,Active,,,NEFLMLS,N,Y,30.3,-81.8
19398,MLS Listing,NA,Single Family Residential,Brooklyn,NY,11212,2,1.5,Brooklyn,1116,2800,1986,89,116,NA,Active,,,BNYMLS,N,Y,40.7,-73.9
19399,MLS Listing,NA,Single Family Residential,Silverado Canyon,CA,92676,2,1,SI - Silverado Canyon,1057,3900,1983,8,519,NA,Active,,,CRMLS,N,Y,33.7,-117.6
19400,MLS Listing,NA,Vacant Land,Atlanta,GA,30339,NA,NA,,NA,39204,NA,58,NA,NA,Active,,,GAMLS,N,Y,33.9,-84.5
19401,MLS Listing,NA,Single Family Residential,Chapel Hill,NC,27517,4,5,Wilkinson Park,4600,17424,2005,6,147,206,Active,,,TMLS,N,Y,35.8,-79
19402,MLS Listing,NA,Condo/Co-op,Atlanta,GA,30324,1,1.5,Cosmopolitan,852,NA,2009,13,302,24,Active,,,GAMLS,N,Y,33.8,-84.4
19403,MLS Listing,NA,Single Family Residential,Garden Grove,CA,92844,3,2.5,"65 - N of Blsa, S of GGrv, E of Bch, W of Brookhrs",1988,3071,2017,247,357,132,Active,,,CRMLS,N,Y,33.8,-118
19404,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2,Baltus House,988,NA,2015,49,531,858,Active,,,MARMLS,N,Y,25.8,-80.2
19405,MLS Listing,NA,Single Family Residential,Cary,NC,27519,4,4,Highcroft Village,3707,6098,2008,62,147,64,Active,,,TMLS,N,Y,35.8,-78.9
19406,MLS Listing,NA,Vacant Land,Jacksonville,FL,32210,NA,NA,Jax Heights Township,NA,NA,NA,146,NA,NA,Active,,,NEFLMLS,N,Y,30.3,-81.8
19407,MLS Listing,NA,Single Family Residential,Miami,FL,33133,6,7,Ewanton Heights,7222,19020,2016,100,630,NA,Active,,,MARMLS,N,Y,25.7,-80.3
19408,MLS Listing,NA,Townhouse,Fairfax,VA,22033,3,2.5,East Market At Fair Lake,1924,NA,2006,13,237,295,Active,,,MRIS,N,Y,38.9,-77.4
19409,MLS Listing,NA,Single Family Residential,Chapel Hill,NC,27517,3,4,The Oaks,3044,47916,1988,54,213,8,Active,,,TMLS,N,Y,35.9,-79
19410,MLS Listing,NA,Multi-Family (2-4 Unit),Woodhaven,NY,11421,8,3,Woodhaven,NA,4000,1901,35,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
19411,MLS Listing,NA,Townhouse,Cary,NC,27511,4,5,Balmoral,4209,5793,2017,1,197,368,Active,,,TMLS,N,Y,35.7,-78.8
19412,MLS Listing,NA,Single Family Residential,Richmond,VA,23227,2,1,Bellevue,981,4809,1930,20,201,NA,Active,NA,NA,CVRMLS,N,Y,37.6,-77.5
19413,MLS Listing,NA,Single Family Residential,Staten Island,NY,10309,3,3,Rossville,2500,50113,1928,42,275,NA,Active,,,SIBORMLS,N,Y,40.5,-74.2
19414,MLS Listing,NA,Single Family Residential,Staten Island,NY,10310,3,3,West Brighton,1656,3650,1940,7,344,NA,Active,,,SIBORMLS,N,Y,40.6,-74.1
19415,MLS Listing,NA,Single Family Residential,Irvine,CA,92618,4,4.25,GP - Great Park,3871,7240,2016,39,555,189,Active,,,CRMLS,N,Y,33.7,-117.7
19416,MLS Listing,NA,Single Family Residential,Miami,FL,33125,3,2,Durham Park,1083,6840,1946,215,304,NA,Active,,,MARMLS,N,Y,25.8,-80.2
19417,MLS Listing,NA,Single Family Residential,Staten Island,NY,10301,3,4,St. George,1598,2500,2016,14,337,NA,Active,,,SIBORMLS,N,Y,40.6,-74.1
19418,MLS Listing,NA,Townhouse,Durham,NC,27713,4,3,Durham,2310,3484,2018,40,145,110,Active,,,TMLS,N,Y,35.9,-78.9
19419,MLS Listing,NA,Single Family Residential,Santa Ana,CA,92704,5,2,69 - Santa Ana South of First,1775,6002,1963,6,337,NA,Active,,,CRMLS,N,Y,33.7,-117.9
19420,MLS Listing,NA,Condo/Co-op,Forest Hills,NY,11375,2,2,Condo,1200,NA,2008,31,749,NA,Active,,,MLSLI,N,Y,40.7,-73.9
19421,MLS Listing,NA,Single Family Residential,Staten Island,NY,10307,4,4,Tottenville,4203,10453,1996,48,345,50,Active,,,SIBORMLS,N,Y,40.5,-74.2
19422,MLS Listing,NA,Vacant Land,Baltimore,MD,21210,NA,NA,Roland Park,NA,348480,NA,856,NA,NA,Active,,,MRIS,N,Y,39.4,-76.6
19423,MLS Listing,NA,Single Family Residential,Raleigh,NC,27606-4081,5,4,Silver Lake,3809,6534,2008,187,125,82,Active,,,TMLS,N,Y,35.7,-78.7
19424,MLS Listing,NA,Single Family Residential,Miami,FL,33185,4,3.5,Caribe Lakes Phase Ii,2496,4000,1997,15,150,115,Active,,,MARMLS,N,Y,25.7,-80.4
19425,MLS Listing,NA,Townhouse,Santa Ana,CA,92705,2,2,69 - Santa Ana South of First,1240,NA,1972,23,363,372,Active,,,CRMLS,N,Y,33.7,-117.8
19426,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,3,2.5,Brickell On The River Nor,1513,NA,2006,488,396,1041,Active,,,MARMLS,N,Y,25.8,-80.2
19427,MLS Listing,NA,Multi-Family (2-4 Unit),College Point,NY,11356,5,2,College Point,NA,2653,1925,56,NA,NA,Active,,,MLSLI,N,Y,40.8,-73.8
19428,MLS Listing,NA,Condo/Co-op,Jacksonville,FL,32256,4,3,Los Lagos,2203,NA,1974,95,72,NA,Active,,,NEFLMLS,N,Y,30.2,-81.6
19429,MLS Listing,NA,Single Family Residential,Orlando,FL,32827,5,5,Orlando,4003,15610,2009,61,373,498,Active,,,MFRMLS,N,Y,28.4,-81.3
19430,MLS Listing,NA,Condo/Co-op,Elmhurst,NY,11373,2,1,Elmhurst Gardens,1000,NA,1950,3,550,NA,Active,,,MLSLI,N,Y,40.7,-73.9
19431,MLS Listing,NA,Condo/Co-op,Baltimore,MD,21202,2,2.5,Four Seasons Private Residences,2416,NA,2017,78,1221,3735,Active,,,MRIS,N,Y,39.3,-76.6
19432,MLS Listing,NA,Multi-Family (2-4 Unit),Bronx,NY,10473,5,2.5,Bronx,1898,3001,1945,5,277,NA,Active,,,HGMLS,N,Y,40.8,-73.9
19433,MLS Listing,NA,Single Family Residential,Miami,FL,33176,4,3,Shamrock Acres,2885,31799,1977,170,288,NA,Active,,,MARMLS,N,Y,25.7,-80.3
19434,MLS Listing,NA,Single Family Residential,Raleigh,NC,27610-1741,3,3,Longview Park,1581,12196,1953,140,245,NA,Active,,,TMLS,N,Y,35.8,-78.6
19435,MLS Listing,NA,Single Family Residential,Orlando,FL,32833,5,2.5,Orlando,2545,44866,2004,22,138,4,Active,March-10-2018 12:00 PM,March-10-2018 03:00 PM,MFRMLS,N,Y,28.5,-81.1
19436,MLS Listing,NA,Single Family Residential,Miami,FL,33138,2,1,Bisc Heights,931,6050,1936,16,360,NA,Active,,,MARMLS,N,Y,25.9,-80.2
19437,MLS Listing,NA,Townhouse,Atlanta,GA,30318,2,2.5,M West Phase 1,1463,NA,2005,13,267,245,Active,,,GAMLS,N,Y,33.8,-84.4
19438,New Construction Plan,NA,Single Family Residential,Chapel Hill,NC,27516,4,3,Briar Chapel,2890,NA,NA,NA,136,NA,Active,,,NewHomeSource.com,N,Y,35.8,-79.1
19439,MLS Listing,NA,Townhouse,Irvine,CA,92618,2,2.25,PS - Portola Springs,1231,NA,2018,55,487,333,Active,,,CRMLS,N,Y,33.7,-117.7
19440,New Construction Plan,NA,Single Family Residential,Jacksonville,FL,32218,5,4.5,Yellow Bluff Landing,3289,NA,NA,NA,92,NA,Active,,,DR Horton,N,Y,30.5,-81.6
19441,MLS Listing,NA,Townhouse,Miami,FL,33145,3,2,Miracle Mile Condo,2191,NA,2008,40,240,NA,Active,,,MARMLS,N,Y,25.7,-80.3
19442,MLS Listing,NA,Townhouse,Baltimore,MD,21213,3,1.5,Berea,NA,NA,1915,13,NA,NA,Active,,,MRIS,N,Y,39.3,-76.6
19443,MLS Listing,NA,Townhouse,Newport Beach,CA,92662,2,1.75,N9 - Lower Newport Bay - Balboa Island,1175,2614,1938,50,1655,NA,Active,,,CRMLS,N,Y,33.6,-117.9
19444,New Construction Plan,NA,Single Family Residential,Orlando,FL,32824,4,2,Creekstone,2333,NA,NA,NA,124,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.3
19445,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11229,1,1,Brooklyn,700,NA,1993,21,213,NA,Active,,,BNYMLS,N,Y,40.6,-73.9
19446,MLS Listing,NA,Townhouse,Baltimore,MD,21230,2,1.5,Washington Village,978,2178,1898,207,128,NA,Active,,,MRIS,N,Y,39.3,-76.6
19447,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,1,1,Millecento Condominium,923,NA,2015,61,423,563,Active,,,MARMLS,N,Y,25.8,-80.2
19448,New Construction Home,NA,Single Family Residential,Cary,NC,27513,5,4,Glen at Westhigh,3420,NA,2017,106,176,NA,Active,,,NewHomeSource.com,N,Y,35.8,-78.8
19449,MLS Listing,NA,Condo/Co-op,Rego Park,NY,11374,1,1,New Hempshire,700,NA,1935,15,607,275,Active,,,MLSLI,N,Y,40.7,-73.9
19450,MLS Listing,NA,Single Family Residential,Miami,FL,33175,4,2.5,Mitierra Sub,2223,11935,1984,128,222,NA,Active,,,MARMLS,N,Y,25.7,-80.4
19451,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32210,4,3,Ortega,2582,NA,1947,20,178,NA,Active,,,NEFLMLS,N,Y,30.3,-81.7
19452,MLS Listing,NA,Condo/Co-op,Doral,FL,33172,2,2,Nuvo Suites,752,NA,2008,583,306,836,Active,,,MARMLS,N,Y,25.8,-80.4
19453,MLS Listing,NA,Condo/Co-op,Miami,FL,33129,2,2,Brickell Biscayne Co,1111,NA,1969,120,324,670,Active,,,MARMLS,N,Y,25.8,-80.2
19454,MLS Listing,NA,Single Family Residential,Orlando,FL,32836,5,4,Orlando,3246,14520,1995,5,169,95,Active,,,MFRMLS,N,Y,28.4,-81.5
19455,MLS Listing,NA,Single Family Residential,Atlanta,GA,30327,4,5,Buckhead - Paces,NA,211265,1956,280,NA,NA,Active,,,FMLS,N,Y,33.9,-84.4
19456,MLS Listing,NA,Single Family Residential,Raleigh,NC,27614,5,5,Pendleton Lake,8949,131551,1997,42,165,132,Active,,,TMLS,N,Y,35.9,-78.6
19457,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32218,4,2,Villages Of Westport,2330,NA,2017,229,112,14,Active,,,NEFLMLS,N,Y,30.5,-81.8
19458,MLS Listing,NA,Single Family Residential,San Juan Capistrano,CA,92675,4,2,OR - Ortega/Orange County,1883,7282,1976,19,451,NA,Active,,,CRMLS,N,Y,33.5,-117.6
19459,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,2,2,Neo Vertika Condo,1255,NA,2006,2,317,790,Active,,,MARMLS,N,Y,25.8,-80.2
19460,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32208,3,1,Lake Forest,882,NA,1944,24,91,NA,Active,,,NEFLMLS,N,Y,30.4,-81.7
19461,MLS Listing,NA,Multi-Family (5+ Unit),Santa Ana,CA,92704,16,8,69 - Santa Ana South of First,6356,10890,1962,14,407,NA,Active,,,CRMLS,N,Y,33.7,-117.9
19462,New Construction Plan,NA,Single Family Residential,Cary,NC,27519,2,3,Piazza at Stonewater,2509,NA,NA,NA,207,NA,Active,,,NewHomeSource.com,N,Y,35.8,-78.9
19463,MLS Listing,NA,Single Family Residential,Orlando,FL,32808,3,2,Orlando,1551,18019,1979,8,148,NA,Active,,,MFRMLS,N,Y,28.6,-81.5
19464,MLS Listing,NA,Vacant Land,Miami,FL,33143,NA,NA,0,NA,54450,NA,204,NA,NA,Active,,,MARMLS,N,Y,25.7,-80.3
19465,MLS Listing,NA,Condo/Co-op,Miami,FL,33193,2,2,Verabella Falls,1132,NA,1984,43,141,262,Active,,,MARMLS,N,Y,25.7,-80.4
19466,MLS Listing,NA,Condo/Co-op,New York,NY,10027,1,1,Morningside Heights,NA,NA,NA,6,NA,NA,Active,,,REBNY,N,Y,40.8,-74
19467,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32225,4,2,Harbour North,2425,NA,1993,139,140,3,Active,,,NEFLMLS,N,Y,30.4,-81.5
19468,MLS Listing,NA,Townhouse,Miami,FL,33180,2,2.5,Aventura Village,NA,NA,2018,47,NA,278,Active,,,MARMLS,N,Y,26,-80.2
19469,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11235,0,1,Brooklyn,660,NA,NA,22,377,NA,Active,,,BNYMLS,N,Y,40.6,-74
19470,MLS Listing,NA,Townhouse,Baltimore,MD,21217,5,2.5,Sandtown-winchester,NA,NA,1900,19,NA,NA,Active,,,MRIS,N,Y,39.3,-76.6
19471,MLS Listing,NA,Single Family Residential,Atlanta,GA,30315,4,2.5,Atlanta,NA,NA,1945,50,NA,NA,Active,,,FMLS,N,Y,33.7,-84.4
19472,MLS Listing,NA,Single Family Residential,Miami,FL,33155,3,1,Golfers Haven,1080,6000,1948,428,389,NA,Active,,,MARMLS,N,Y,25.7,-80.3
